,Artist,Streams,Daily,As lead,Solo,As Feature
470,ILLENIUM,4206.7,1.429,2967.6,165.6,1239.1
471,Eslabon Armado,4205.4,5.473,3966.9,2106.6,238.5
472,Becky Hill,4203.6,2.204,1479.1,269.0,2724.6
473,The Police,4202.5,3.358,4202.5,4191.9,0.0
474,Rod Wave,4195.4,5.751,4047.6,3290.0,147.8
475,Luciano,4190.9,1.977,2865.0,2056.5,1325.9
476,Lukas Graham,4186.0,1.304,3969.3,3720.9,216.7
477,AJR,4182.5,1.728,3955.6,3661.3,226.8
478,Jessie J,4178.5,1.565,4060.9,2113.7,117.6
479,La Arrolladora Banda El Limón De Rene Camacho,4169.4,2.707,4147.0,4084.6,22.3
480,Iggy Azalea,4156.8,0.952,2724.9,736.4,1431.9
481,Luis R Conriquez,4151.4,5.804,1988.7,1243.1,2162.7
482,Stormzy,4150.1,1.548,2514.9,1581.3,1635.2
483,will.i.am,4147.2,1.879,1713.2,142.2,2433.9
484,Maren Morris,4145.0,1.356,1794.3,1501.9,2350.8
485,Mitski,4144.6,8.857,4108.3,4108.3,36.3
486,Damso,4136.5,2.252,2819.5,2563.2,1317.0
487,Sam Feldt,4117.3,1.131,3001.3,137.8,1116.0
488,Seeb,4112.9,0.883,909.9,6.7,3203.1
489,Jesse & Joy,4065.8,2.465,3528.1,2527.4,537.7
490,Jeremy Zucker,4031.5,1.314,3713.7,1558.0,317.8
491,Sabrina Carpenter,4020.0,4.762,2956.0,2823.3,1064.0
492,Passenger,4017.9,1.582,4017.9,3833.6,0.0
493,MEDUZA,4012.3,3.014,3732.0,7.9,280.2
494,CNCO,4009.5,0.921,3591.2,2312.8,418.3
495,Foster The People,4001.5,1.457,3809.1,3714.1,192.5
496,Nas,3998.6,2.193,2878.3,1746.8,1120.3
497,Cage The Elephant,3985.2,2.022,3985.2,3915.3,0.0
498,Juan Gabriel,3981.8,2.591,3689.4,3002.8,292.4
499,Shreya Ghoshal,3974.2,8.076,766.5,384.3,3207.7
