,Artist,Streams,Daily,As lead,Solo,As Feature
274,Rammstein,6535.2,4.091,6535.2,6438.1,0.0
275,Daniel Caesar,6487.3,5.842,4698.8,2295.5,1788.5
276,De La Ghetto,6463.9,2.684,1033.0,314.8,5430.9
277,Rae Sremmurd,6462.9,1.722,5707.0,3105.8,756.0
278,Marc Anthony,6461.9,2.781,3992.8,3756.7,2469.1
279,NATTI NATASHA,6450.6,1.729,2803.7,589.5,3646.8
280,Bon Jovi,6445.8,3.802,6444.0,6364.3,1.8
281,Tainy,6443.6,5.343,2752.9,0.0,3690.7
282,Ñengo Flow,6440.1,5.923,1227.5,392.4,5212.5
283,Chencho Corleone,6408.8,4.376,166.8,88.2,6242.0
284,Anderson .Paak,6396.8,3.344,2040.3,1078.5,4356.5
285,Madonna,6393.3,5.17,5872.2,4886.5,521.1
286,6LACK,6362.2,2.168,3064.4,2092.5,3297.8
287,Natanael Cano,6343.6,13.487,4462.5,2457.6,1881.2
288,Fetty Wap,6336.7,1.178,3860.2,2182.5,2476.5
289,Alok,6334.3,4.064,5024.2,204.6,1310.1
290,Creedence Clearwater Revival,6274.1,4.849,6274.1,6270.0,0.0
291,Luke Bryan,6245.9,2.98,5425.6,5337.0,820.3
292,Bonez MC,6236.3,2.478,3325.9,694.0,2910.4
293,Rels B,6229.1,7.47,5149.7,4195.9,1079.4
294,Grupo Firme,6216.4,7.006,4951.1,1616.6,1265.3
295,T.I.,6206.4,2.172,3203.3,1166.8,3003.1
296,Muse,6167.5,2.605,6167.5,6144.2,0.0
297,Zé Neto & Cristiano,6123.1,5.266,5231.0,5032.1,892.1
298,Jonas Brothers,6122.9,3.374,4831.8,4637.0,1291.1
299,Felix Jaehn,6122.6,2.6,2733.6,45.3,3389.0
300,The Lumineers,6092.0,4.231,6043.0,6029.0,49.0
301,Jennifer Lopez,6075.2,2.325,4951.1,2046.7,1124.0
302,Juicy J,6049.3,2.03,1309.4,116.7,4739.8
303,Eladio Carrion,6047.5,8.066,4448.1,1502.6,1599.4
304,Oasis,6035.5,3.126,6035.5,6034.7,0.0
305,Wizkid,6032.8,3.175,1426.1,513.7,4606.7
306,Niall Horan,6004.0,2.742,4872.1,4545.9,1131.9
307,Bing Crosby,5975.5,0.421,5938.8,2429.2,36.7
308,Charli XCX,5969.2,5.147,2903.7,1757.5,3065.6
309,Jack Johnson,5950.7,2.243,5736.4,5570.8,214.3
310,Quevedo,5936.8,13.032,2996.8,1952.6,2940.0
311,Ludacris,5935.4,3.166,1610.6,504.7,4324.7
312,Lil Tecca,5912.8,5.922,5063.6,3985.7,849.2
313,Steve Aoki,5911.0,1.598,3462.7,11.9,2448.3
314,Matheus & Kauan,5899.6,3.641,4698.6,3377.6,1200.9
315,Hailee Steinfeld,5876.9,1.275,5312.5,2165.4,564.4
316,My Chemical Romance,5837.4,3.529,5837.4,5805.0,0.0
317,Bring Me The Horizon,5807.9,3.263,5446.0,4864.0,362.0
318,Jess Glynne,5800.9,1.68,2463.1,2162.3,3337.8
319,Glass Animals,5797.3,2.644,5785.5,5354.9,11.8
320,R3HAB,5780.5,2.556,3478.8,204.4,2301.7
321,RAF Camora,5760.0,2.624,2439.7,1155.1,3320.3
322,Mora,5745.7,13.543,4398.4,1472.5,1347.3
323,Kevin Gates,5733.0,1.676,4868.8,4238.9,864.2
324,Alesso,5722.2,2.055,3313.3,690.3,2408.9
325,Stray Kids,5714.4,6.26,5669.5,5567.0,44.9
326,Piso 21,5712.0,3.182,5040.8,1153.8,671.2
327,Mumford & Sons,5708.2,1.614,5541.7,5327.6,166.5
328,Maria Becerra,5705.8,8.056,1962.4,1358.7,3743.3
329,Bazzi,5695.4,1.477,5627.6,4742.7,67.8
330,MØ,5692.8,1.323,1522.5,1230.2,4170.3
331,ScHoolboy Q,5674.8,1.57,3519.2,1252.7,2155.6
332,Carin Leon,5663.0,14.409,4158.6,3283.9,1504.4
333,Kid Ink,5662.4,1.246,2496.1,776.2,3166.4
334,Sfera Ebbasta,5652.9,4.46,2327.2,1493.7,3325.7
335,Florence + The Machine,5651.1,2.795,5651.1,5278.2,0.0
336,Bryant Myers,5603.5,3.795,2022.0,708.5,3581.5
337,Whitney Houston,5591.2,2.707,4713.6,4192.2,877.6
338,Nickelback,5581.0,3.294,5581.0,5539.3,0.0
339,Mark Ronson,5552.1,2.05,3967.8,8.9,1584.3
340,Brent Faiyaz,5548.2,7.246,4087.3,3626.9,1460.9
341,Måneskin,5504.1,4.974,5498.2,5319.3,5.9
342,League of Legends,5490.1,3.234,2340.9,336.6,3149.2
343,Conan Gray,5485.5,4.591,5334.7,5334.7,150.7
344,Bruce Springsteen,5481.4,2.299,5420.5,5410.0,61.0
345,Maná,5453.8,4.093,5453.3,4163.9,0.4
346,Kings of Leon,5451.3,2.216,5451.3,5436.7,0.0
347,Alejandro Fernández,5442.7,2.565,5088.5,4162.3,354.2
348,Stevie Wonder,5440.3,2.546,5049.0,4878.6,391.3
349,Prince Royce,5437.4,2.508,4031.1,2606.6,1406.3
350,Disclosure,5435.3,1.6,5241.4,545.7,193.9
351,Cartel De Santa,5418.0,3.855,5031.6,3460.5,386.4
352,Cheat Codes,5417.0,0.692,3519.6,189.2,1897.4
353,Summer Walker,5401.4,5.13,4485.8,2184.4,915.6
354,Avril Lavigne,5393.4,2.579,5280.4,5011.3,113.0
355,JID,5391.8,3.604,1421.9,728.3,3969.9
356,Lizzo,5389.3,2.151,5239.8,4262.0,149.4
357,Kane Brown,5372.0,2.143,3686.5,2362.7,1685.5
358,Five Finger Death Punch,5362.7,1.99,5362.7,5057.8,0.0
359,Wesley Safadão,5337.4,2.751,3617.9,2231.4,1719.6
360,Ski Mask The Slump God,5329.2,1.991,3649.8,2481.7,1679.4
361,Aventura,5322.1,4.045,5283.2,3509.1,38.8
362,Kelly Clarkson,5321.0,2.109,5041.4,4794.0,279.6
363,Maiara & Maraisa,5310.5,2.763,2012.7,1663.4,3297.7
364,Capital Bra,5309.3,0.966,3785.0,1462.1,1524.4
365,Vance Joy,5305.8,2.734,5159.0,5065.6,146.8
366,The Script,5296.8,2.108,5276.8,4028.8,20.1
367,NLE Choppa,5294.2,4.265,4175.4,2588.2,1118.8
368,Aerosmith,5280.5,2.781,5041.7,5034.8,238.8
369,Giveon,5268.0,3.568,2964.4,2915.2,2303.5
370,Galantis,5248.6,1.562,4615.7,2585.9,633.0
371,Jason Mraz,5203.8,1.772,5043.1,4267.0,160.7
372,iann dior,5203.5,1.427,2482.3,1296.8,2721.2
